np,n,p,ntrt,nstand,n.s,p.s,np.s,nfac,growth,expt,growth.s
13.5,0.61,0.1,0.61,0.6332475868613036,0.633,0.16194747074094742,-0.2018622855222866,c,9.47893552396226e-4,seagrass,-0.03985260207071271
1.9,0.11,0.13,0.11,-0.5540916385036406,-0.554,0.3856906868962037,-0.3281428524283704,a,0.0014980507060732774,seagrass,0.8308451405214432
6.9,0.31,0.1,0.31,-0.07915594835766293,-0.079,0.16194747074094742,-0.2737115735895412,b,7.962798644421679e-4,seagrass,-0.2798016692878975
45,0.61,0.03,0.61,0.6332475868613036,0.633,-0.3601200336213174,0.14105477116233736,c,3.842238126392339e-4,seagrass,-0.9319358308239609
5.3,0.31,0.13,0.31,-0.07915594835766293,-0.079,0.3856906868962037,-0.29112958281796647,b,0.0011968719309563116,seagrass,0.3541891925648924
10.4,0.61,0.13,0.61,0.6332475868613036,0.633,0.3856906868962037,-0.23560967840236072,c,9.138197434441134e-4,seagrass,-0.0937789908086046
134.9,0.61,0.01,0.61,0.6332475868613036,0.633,-0.5092821777248216,1.1197291646844865,c,7.023307492817622e-4,seagrass,-0.4284887888535808
6.7,0.61,0.2,0.61,0.6332475868613036,0.633,0.9077581912584686,-0.27588882474309434,c,0.0018237434762791269,seagrass,1.3462977851003113
30.4,0.11,0.008,0.11,-0.5540916385036406,-0.554,-0.5241983921351719,-0.017884563047043913,a,9.309349789802985e-4,seagrass,-0.06669182699424986
22.9,0.31,0.03,0.31,-0.07915594835766293,-0.079,-0.3601200336213174,-0.09953148130528772,b,6.095594314428055e-4,seagrass,-0.5753118856356602
68.6,0.31,0.01,0.31,-0.07915594835766293,-0.079,-0.5092821777248216,0.39797040728161115,b,7.406676166684284e-4,seagrass,-0.367815536368311
85.7,0.31,0.008,0.31,-0.07915594835766293,-0.079,-0.5241983921351719,0.5841253809104071,b,8.441286917962544e-4,seagrass,-0.20407445991793471
19.3,0.61,0.07,0.61,0.6332475868613036,0.633,-0.061795745414308885,-0.1387220020692447,c,0.001022431485067978,seagrass,0.07811370861163039
8.1,0.11,0.03,0.11,-0.5540916385036406,-0.554,-0.3601200336213174,-0.2606480666682221,a,8.82044000801618e-4,seagrass,-0.14406838030957425
9.8,0.31,0.07,0.31,-0.07915594835766293,-0.079,-0.061795745414308885,-0.2421414318630202,b,9.114779436788618e-4,seagrass,-0.09748520412525331
24.3,0.11,0.01,0.11,-0.5540916385036406,-0.554,-0.5092821777248216,-0.08429072323041552,a,7.968863219843604e-4,seagrass,-0.2788418686028828
2.4,0.11,0.1,0.11,-0.5540916385036406,-0.554,0.16194747074094742,-0.3226997245444874,a,0.0012590830067114086,seagrass,0.45264659307701816
3.5,0.11,0.07,0.11,-0.5540916385036406,-0.554,-0.061795745414308885,-0.310724843199945,a,8.971055732292564e-4,seagrass,-0.120231414771667
1.2,0.11,0.2,0.11,-0.5540916385036406,-0.554,0.9077581912584686,-0.33576323146580644,a,0.0013571536635340864,seagrass,0.6078566070508807
3.4,0.31,0.2,0.31,-0.07915594835766293,-0.079,0.9077581912584686,-0.3118134687767216,b,0.0010142441135924524,seagrass,0.06515609129472777
168.7,0.61,0.008,0.61,0.6332475868613036,0.633,-0.5241983921351719,1.4876846096349716,c,9.056386579899725e-4,seagrass,-0.10672665965061602
1.005160517,10,22,10,-0.5976143046671968,-0.598,0.8099953958748427,-0.33498812999830957,a,0.0018075171459973893,phyto,-0.14921262234840818
1.300795964,10,17,10,-0.5976143046671968,-0.598,0.48034610685601137,-0.32959124946413976,a,0.001956364145160595,phyto,-0.028794607588884132
1.701040875,10,13,10,-0.5976143046671968,-0.598,0.21662667564094634,-0.32228470354416955,a,0.0019539351186799755,phyto,-0.030759702943435267
2.457059042,10,9,10,-0.5976143046671968,-0.598,-0.047092755574118704,-0.3084834501073277,a,0.0015974469680084301,phyto,-0.3191605147199158
3.015481552,30,22,30,0,0,0.8099953958748427,-0.29828934244992883,b,0.0017164989506630735,phyto,-0.22284682693949553
3.902387891,30,17,30,0,0,0.48034610685601137,-0.28209870088392985,b,0.002270266529077992,phyto,0.22515409216400153
5.025802587,50,22,50,0.5976143046671968,0.598,0.8099953958748427,-0.2615905549015481,c,0.002788514253693575,phyto,0.6444192604420846
5.103122626,30,13,30,0,0,0.21662667564094634,-0.2601790630875088,b,0.0020253273427361363,phyto,0.026996986398241045
5.528382845,10,4,10,-0.5976143046671968,-0.598,-0.37674204459295,-0.25241585802814437,a,0.001859534547182635,phyto,-0.1071302678576137
6.503979818,50,17,50,0.5976143046671968,0.598,0.48034610685601137,-0.23460615230371992,c,0.002601455992457845,phyto,0.4930881312355295
7.371177127,30,9,30,0,0,-0.047092755574118704,-0.21877530277698332,b,0.002070529492442409,phyto,0.06356576615928916
8.505204377,50,13,50,0.5976143046671968,0.598,0.21662667564094634,-0.19807342263084812,c,0.0036429464804762298,phyto,1.3356594807633053
11.05676569,10,2,10,-0.5976143046671968,-0.598,-0.5086017602004825,-0.15149419229291639,a,0.0013106269426570575,phyto,-0.5511994422109472
12.28529521,50,9,50,0.5976143046671968,0.598,-0.047092755574118704,-0.1290671554831493,c,0.0026428836990039896,phyto,0.5266033663855308
16.58514854,30,4,30,0,0,-0.37674204459295,-0.05057252646641251,b,0.0017195307858573262,phyto,-0.22039405612636243
22.11353138,10,1,10,-0.5976143046671968,-0.598,-0.5745316180042488,0.05034913917753956,a,8.573700463680855e-4,phyto,-0.9178866843725182
27.64191423,50,4,50,0.5976143046671968,0.598,-0.37674204459295,0.15127080500404347,c,0.002503301389015533,phyto,0.41368053449203207
33.17029707,30,2,30,0,0,-0.5086017602004825,0.2521924706479954,b,0.0020996720742125757,phyto,0.0871422699615777
55.28382845,50,2,50,0.5976143046671968,0.598,-0.5086017602004825,0.6558791335889074,c,0.0015750137694854904,phyto,-0.3373090917555653
66.34059414,30,1,30,0,0,-0.5745316180042488,0.8577224650593631,b,0.001714403636403653,phyto,-0.22454194733046884
110.5676569,50,1,50,0.5976143046671968,0.598,-0.5745316180042488,1.6650957909411872,c,0.0011179524607901111,phyto,-0.7070741238079742
